consecutivo;componente;competencia;estrategia;grado inicio;grado fin;grados;grado unico;usario
1105;30;Identifico y describo artefactos que se utilizan hoy y que no se empleaban en épocas pasadas.;;1;3;1-3;1;admin
1106;30;Identifico herramientas que, como extensión de partes de mi cuerpo, me ayudan a realizar tareas de transformación de materiales.;;1;3;1-3;1;admin
1107;30;Establezco semejanzas y diferencias entre artefactos y elementos naturales.;;1;3;1-3;1;admin
1108;30;Indico la importancia de algunos artefactos para la realización de diversas actividades humanas (por ejemplo, la red para la pesca y la rueda para el transporte).;;1;3;1-3;1;admin
1109;31;Observo, comparo y analizo los elementos de un artefacto para utilizarlo adecuadamente.;;1;3;1-3;1;admin
1110;31;Identifico y utilizo artefactos que facilitan mis actividades y satisfacen mis necesidades cotidianas (deportes, entretenimiento, salud, estudio, alimentación, comunicación, desplazamiento, entre otros).;;1;3;1-3;1;admin
1111;31;Clasifico y describo artefactos de mi entorno según sus características físicas, uso y procedencia.;;1;3;1-3;1;admin
1112;31;Establezco relaciones entre la materia prima y el procedimiento de fabricación de algunos productos de mi entorno.;;1;3;1-3;1;admin
1113;31;Identifico y utilizo algunos símbolos y señales cotidianos, particularmente los relacionados con la seguridad (tránsito, basuras, advertencias).;;1;3;1-3;1;admin
1114;31;Identifico la computadora como artefacto tecnológico para la información y la comunicación, y la utilizo en diferentes actividades.;;1;3;1-3;1;admin
1115;31;Comparo mi esquema de vacunación con el esquema establecido y explico su importancia.;;1;3;1-3;1;admin
1116;31;Identifico diferentes recursos naturales de mi entorno y los utilizo racionalmente.;;1;3;1-3;1;admin
1117;31;Manejo en forma segura instrumentos, herramientas y materiales de uso cotidiano, con algún propósito (recortar,  pegar, construir, pintar, ensamblar).;;1;3;1-3;1;admin
1118;32;Selecciono entre los diversos artefactos disponibles aquellos que son más adecuados para realizar tareas cotidianas en el hogar y la escuela, teniendo en cuenta sus restricciones y condiciones de utilización.;;1;3;1-3;1;admin
1119;32;Detecto fallas simples en el funcionamiento de algunos artefactos sencillos, actúo de manera segura frente a ellos e informo a los adultos mis observaciones.;;1;3;1-3;1;admin
1120;32;Indago cómo están construidos y cómo funcionan algunos artefactos de uso cotidiano.;;1;3;1-3;1;admin
1121;32;Utilizo diferentes expresiones para describir la forma y el funcionamiento de algunos artefactos.;;1;3;1-3;1;admin
1122;32;Ensamblo y desarmo artefactos y dispositivos sencillos siguiendo instrucciones gráficas.;;1;3;1-3;1;admin
1123;32;Comparo longitudes, magnitudes y cantidades en el armado y desarmado de artefactos y dispositivos sencillos.;;1;3;1-3;1;admin
1124;32;Reflexiono sobre mi propia actividad y sobre los resultados de mi trabajo mediante descripciones, comparaciones, dibujos, mediciones y explicaciones.;;1;3;1-3;1;admin
1125;33;Manifiesto interés por temas relacionados con la tecnología a través de preguntas e intercambio de ideas.;;1;3;1-3;1;admin
1126;33;Indago sobre el uso de algunos materiales a través de la historia y sus efectos en los estilos de vida.;;1;3;1-3;1;admin
1127;33;Identifico algunas consecuencias ambientales y en mi salud derivadas del uso de algunos artefactos y productos  tecnológicos.;;1;3;1-3;1;admin
1128;33;Relato cómo mis acciones sobre el medio ambiente afectan a otros y las de los demás me afectan.;;1;3;1-3;1;admin
1129;33;Identifico materiales caseros y partes de artefactos en desuso para construir objetos que me ayudan a satisfacer mis necesidades y a contribuir con la preservación del medio ambiente.;;1;3;1-3;1;admin
1130;33;Participo en equipos de trabajo para desarrollar y probar proyectos que involucran algunos componentes tecnológicos.;;1;3;1-3;1;admin
1131;30;Analizo artefactos que responden a necesidades particulares en contextos sociales, económicos y culturales.;;4;5;4-5;4;admin
1132;30;Diferencio productos tecnológicos de productos naturales, teniendo en cuenta los recursos y los procesos involucrados.;;4;5;4-5;4;admin
1133;30;Menciono invenciones e innovaciones que han contribuido al desarrollo del país.;;4;5;4-5;4;admin
1134;30;Explico la diferencia entre un artefacto y un proceso mediante ejemplos.;;4;5;4-5;4;admin
1135;30;Identifico fuentes y tipos de energía y explico cómo se transforman.;;4;5;4-5;4;admin
1136;30;Identifico y doy ejemplos de artefactos que involucran en su funcionamiento tecnologías de la información.;;4;5;4-5;4;admin
1137;31;Sigo las instrucciones de los manuales de utilización de productos tecnológicos.;;4;5;4-5;4;admin
1138;31;Describo y clasifico artefactos existentes en mi entorno con base en características tales como materiales, forma, estructura, función y fuentes de energía utilizadas, entre otras.;;4;5;4-5;4;admin
1139;31;Utilizo tecnologías de la información y la comunicación disponibles en mi entorno para el desarrollo de diversas actividades (comunicación, entretenimiento, aprendizaje, búsqueda y validación de información, investigación, etc.).;;4;5;4-5;4;admin
1140;31;Selecciono productos que respondan a mis necesidades utilizando criterios apropiados (fecha de vencimiento,  condiciones de manipulación y de almacenamiento, componentes, efectos sobre la salud y el medio ambiente).;;4;5;4-5;4;admin
1141;31;Empleo con seguridad artefactos y procesos para mantener y conservar algunos productos.;;4;5;4-5;4;admin
1142;31;Describo productos tecnológicos mediante el uso de diferentes formas de representación tales como esquemas, dibujos y  diagramas, entre otros.;;4;5;4-5;4;admin
1143;31;Utilizo herramientas manuales para realizar de manera segura procesos de medición, trazado, corte, doblado y unión de materiales para construir modelos y maquetas.;;4;5;4-5;4;admin
1144;32;Identifico y describo características, dificultades, deficiencias  o riesgos asociados con el empleo de artefactos y procesos  destinados a la solución de problemas.;;4;5;4-5;4;admin
1145;32;Identifico y comparo ventajas y desventajas de distintas soluciones tecnológicas sobre un mismo problema.;;4;5;4-5;4;admin
1146;32;Identifico fallas sencillas en un artefacto o proceso y actúo en forma segura frente a ellas.;;4;5;4-5;4;admin
1147;32;Frente a un problema, propongo varias soluciones posibles indicando cómo llegué a ellas y cuáles son las ventajas y desventajas de cada una.;;4;5;4-5;4;admin
1148;32;Establezco relaciones de proporción entre las dimensiones de los artefactos y de los usuarios.;;4;5;4-5;4;admin
1149;32;Diseño y construyo soluciones tecnológicas utilizando maquetas o modelos.;;4;5;4-5;4;admin
1150;32;Participo con mis compañeros en la definición de roles y responsabilidades en el desarrollo de proyectos en tecnología.;;4;5;4-5;4;admin
1151;32;Frente a nuevos problemas, formulo analogías o adaptaciones de soluciones ya existentes.;;4;5;4-5;4;admin
1152;32;Describo con esquemas, dibujos y textos, instrucciones de ensamble de artefactos.;;4;5;4-5;4;admin
1153;32;Diseño, construyo, adapto y reparo artefactos sencillos, reutilizando materiales caseros para satisfacer intereses personales.;;4;5;4-5;4;admin
1154;33;Identifico algunos bienes y servicios que ofrece mi comunidad y velo por su cuidado y buen uso valorando sus beneficios sociales.;;4;5;4-5;4;admin
1155;33;Indico la importancia de acatar las normas para la prevención de enfermedades y accidentes y promuevo su cumplimiento.;;4;5;4-5;4;admin
1156;33;Utilizo diferentes fuentes de información y medios de comunicación para sustentar mis ideas.;;4;5;4-5;4;admin
1157;33;Asocio costumbres culturales con características del entorno y con el uso de diversos artefactos. Identifico instituciones y autoridades a las que puedo acudir para solicitar la protección de los bienes y servicios de mi comunidad.;;4;5;4-5;4;admin
1158;33;Participo en discusiones que involucran predicciones sobre los posibles efectos relacionados con el uso o no de artefactos, procesos y productos tecnológicos en mi entorno y argumento mis planteamientos (energía, agricultura, antibióticos, etc.).;;4;5;4-5;4;admin
1159;33;Me involucro en proyectos tecnológicos relacionados con el buen uso de los recursos naturales y la adecuada disposición de los residuos del entorno en el que vivo.;;4;5;4-5;4;admin
1160;33;Diferencio los intereses del que fabrica, vende o compra un producto, bien o servicio y me intereso por obtener garantía de calidad.;;4;5;4-5;4;admin
1161;30;Analizo y expongo razones por las cuales la evolución de técnicas, procesos, herramientas y materiales, han contribuido a mejorar la fabricación de artefactos y sistemas tecnológicos a lo  largo de la historia.;;6;7;6-7;6;admin
1162;30;Identifico y explico técnicas y conceptos de otras disciplinas que se han empleado para la generación y evolución de sistemas tecnológicos (alimentación, servicios públicos, salud, transporte).;;6;7;6-7;6;admin
1163;30;Reconozco en algunos artefactos, conceptos y principios científicos y técnicos que permitieron su creación.;;6;7;6-7;6;admin
1164;30;Ilustro con ejemplos la relación que existe entre diferentes factores en los desarrollos tecnológicos (peso, costo, resistencia, material, etc.).;;6;7;6-7;6;admin
1165;30;"Identifico innovaciones e inventos trascendentales para la sociedad; los ubico y explico en su contexto histórico.";;6;7;6-7;6;admin
1166;30;Explico con ejemplos el concepto de sistema e indico sus componentes y relaciones de causa efecto.;;6;7;6-7;6;admin
1167;30;Describo el rol de la realimentación en el funcionamiento automático de algunos sistemas.;;6;7;6-7;6;admin
1168;30;Doy ejemplos de transformación y utilización de fuentes de energía en determinados momentos históricos.;;6;7;6-7;6;admin
1169;31;Analizo y aplico las normas de seguridad que se deben tener en cuenta para el uso de algunos artefactos, productos y sistemas  tecnológicos.;;6;7;6-7;6;admin
1170;31;Analizo el impacto de artefactos, procesos y sistemas tecnológicos en la solución de problemas y satisfacción de necesidades.;;6;7;6-7;6;admin
1171;31;Utilizo las tecnologías de la información y la comunicación, para apoyar mis procesos de aprendizaje y actividades personales  (recolectar, seleccionar, organizar y procesar información).;;6;7;6-7;6;admin
1172;31;Ejemplifico cómo en el uso de artefactos, procesos o sistemas tecnológicos, existen principios de funcionamiento que los  sustentan.;;6;7;6-7;6;admin
1173;31;Utilizo herramientas y equipos de manera segura para construir modelos, maquetas y prototipos.;;6;7;6-7;6;admin
1174;31;Utilizo apropiadamente instrumentos para medir diferentes magnitudes físicas.;;6;7;6-7;6;admin
1175;32;Identifico y formulo problemas propios del entorno que son susceptibles de ser resueltos a través de soluciones tecnológicas.;;6;7;6-7;6;admin
1176;32;Frente a una necesidad o problema, selecciono una alternativa tecnológica apropiada. Al hacerlo utilizo criterios adecuados como eficiencia, seguridad, consumo y costo.;;6;7;6-7;6;admin
1177;32;Detecto fallas en artefactos, procesos y sistemas tecnológicos, siguiendo procedimientos de  prueba y descarte, y propongo estrategias de solución.;;6;7;6-7;6;admin
1178;32;Identifico la influencia de factores ambientales, sociales, culturales y económicos en la solución de problemas.;;6;7;6-7;6;admin
1179;32;Adelanto procesos sencillos de innovación en mi entorno como solución a deficiencias detectadas en productos, procesos y sistemas tecnológicos.;;6;7;6-7;6;admin
1180;32;Reconozco y utilizo algunas formas de organización del trabajo para solucionar problemas con la ayuda de la tecnología.;;6;7;6-7;6;admin
1181;32;Adapto soluciones tecnológicas a nuevos contextos y problemas.;;6;7;6-7;6;admin
1182;32;Interpreto gráficos, bocetos y planos en diferentes actividades.;;6;7;6-7;6;admin
1183;32;Realizo representaciones gráficas tridimensionales de mis ideas y diseños.;;6;7;6-7;6;admin
1184;33;Me intereso por las tradiciones y valores de mi comunidad y participo en la gestión de iniciativas en favor del medio ambiente, la salud y la cultura (como jornadas de recolección de materiales reciclables, vacunación, bazares, festivales, etc.).;;6;7;6-7;6;admin
1185;33;Indago sobre las posibles acciones que puedo realizar para preservar el ambiente, de acuerdo con normas y regulaciones.;;6;7;6-7;6;admin
1186;33;Analizo las ventajas y desventajas de diversos procesos de transformación de los recursos naturales en productos y sistemas tecnológicos (por ejemplo, un basurero o una represa).;;6;7;6-7;6;admin
1187;33;Identifico diversos recursos energéticos y evalúo su impacto sobre el medio ambiente, así como las posibilidades de desarrollo para las comunidades.;;6;7;6-7;6;admin
1188;33;Evalúo los costos y beneficios antes de adquirir y utilizar artefactos y productos tecnológicos.;;6;7;6-7;6;admin
1189;33;Participo en discusiones sobre el uso racional de algunos artefactos tecnológicos.;;6;7;6-7;6;admin
1190;33;Reconozco y divulgo los derechos de las comunidades para acceder a bienes y servicios (como por ejemplo, los recursos energéticos e hídricos).;;6;7;6-7;6;admin
1191;33;Asumo y promuevo comportamientos legales relacionados con el uso de los recursos tecnológicos.;;6;7;6-7;6;admin
1192;30;Identifico principios científicos aplicados al funcionamiento de algunos artefactos, productos, servicios, procesos y sistemas tecnológicos.;;8;9;8-9;8;admin
1193;30;Identifico y analizo interacciones entre diferentes sistemas tecnológicos (como la alimentación y la salud, el transporte y la comunicación).;;8;9;8-9;8;admin
1194;30;Explico algunos factores que influyen en la evolución de la tecnología y establezco relaciones con algunos eventos históricos.;;8;9;8-9;8;admin
1195;30;Comparo tecnologías empleadas en el pasado con las del presente y explico sus cambios y posibles tendencias.;;8;9;8-9;8;admin
1196;30;Identifico y analizo inventos e innovaciones que han marcado hitos en el desarrollo tecnológico.;;8;9;8-9;8;admin
1197;30;Describo casos en los que la evolución de las ciencias ha permitido optimizar algunas de las soluciones tecnológicas existentes.;;8;9;8-9;8;admin
1198;30;Explico, con ejemplos, conceptos propios del conocimiento tecnológico tales como tecnología, procesos, productos, sistemas, servicios, artefactos, herramientas, materiales, técnica, fabricación y producción.;;8;9;8-9;8;admin
1199;30;Identifico artefactos que contienen sistemas de control con realimentación.;;8;9;8-9;8;admin
1200;30;Ilustro con ejemplos el significado e importancia de la calidad en la producción de artefactos tecnológicos.;;8;9;8-9;8;admin
1201;30;Identifico artefactos basados en tecnología digital y describo el sistema binario utilizado en dicha tecnología.;;8;9;8-9;8;admin
1202;31;Utilizo responsable y eficientemente fuentes de energía y recursos naturales.;;8;9;8-9;8;admin
1203;31;Sustento con argumentos (evidencias, razonamiento lógico, experimentación) la selección y utilización de un producto natural o tecnológico para resolver una necesidad o problema.;;8;9;8-9;8;admin
1204;31;Utilizo eficientemente la tecnología en el aprendizaje de otras disciplinas (artes, educación física, matemáticas, ciencias).;;8;9;8-9;8;admin
1205;31;Utilizo responsable y autónomamente las Tecnologías de la Información y la Comunicación (TIC) para aprender, investigar y comunicarme con otros en el mundo.;;8;9;8-9;8;admin
1206;31;Hago un mantenimiento adecuado de mis artefactos tecnológicos.;;8;9;8-9;8;admin
1207;31;Utilizo elementos de protección y normas de seguridad para la realización de actividades y manipulación de herramientas y equipos.;;8;9;8-9;8;admin
1208;31;Interpreto el contenido de una factura de servicios públicos.;;8;9;8-9;8;admin
1209;31;Ensamblo sistemas siguiendo instrucciones y esquemas.;;8;9;8-9;8;admin
1210;31;Utilizo instrumentos tecnológicos para realizar mediciones e identifico algunas fuentes de error en dichas mediciones.;;8;9;8-9;8;admin
1211;31;Represento en gráficas bidimensionales, objetos de tres dimensiones a través de proyecciones y diseños a mano alzada o con la ayuda de herramientas informáticas.;;8;9;8-9;8;admin
1212;31;Utilizo correctamente elementos de protección cuando involucro artefactos y procesos tecnológicos en las diferentes actividades que realizo (por ejemplo, en deporte uso cascos, rodilleras, guantes, etc.).;;8;9;8-9;8;admin
1213;32;Identifico y formulo problemas propios del entorno, susceptibles de ser resueltos con soluciones basadas en la tecnología.;;8;9;8-9;8;admin
1214;32;Comparo distintas soluciones tecnológicas frente a un mismo problema según sus características, funcionamiento, costos y eficiencia.;;8;9;8-9;8;admin
1215;32;Detecto fallas en sistemas tecnológicos sencillos (mediante un proceso de prueba y descarte) y propongo soluciones.;;8;9;8-9;8;admin
1216;32;Reconozco que no hay soluciones perfectas, y que pueden existir varias soluciones a un mismo problema según los criterios utilizados y su ponderación.;;8;9;8-9;8;admin
1217;32;Considero aspectos relacionados con la seguridad, ergonomía, impacto en el medio ambiente y en la sociedad, en la solución de problemas.;;8;9;8-9;8;admin
1218;32;Propongo mejoras en las soluciones tecnológicas y justifico los cambios propuestos con base en la experimentación, las evidencias y el razonamiento lógico.;;8;9;8-9;8;admin
1219;32;Propongo soluciones tecnológicas en condiciones de incertidumbre, donde parte de la información debe ser obtenida y parcialmente inferida.;;8;9;8-9;8;admin
1220;32;Diseño, construyo y pruebo prototipos de artefactos y procesos como respuesta a una necesidad o problema, teniendo en cuenta las restricciones y especificaciones planteadas.;;8;9;8-9;8;admin
1221;32;Explico las características de los distintos procesos de transformación de los materiales y de obtención de las materias primas.;;8;9;8-9;8;admin
1222;32;Interpreto y represento ideas sobre diseños, innovaciones o protocolos de experimentos mediante el uso de registros, textos, diagramas, figuras, planos, maquetas, modelos y prototipos.;;8;9;8-9;8;admin
1223;33;Analizo el costo ambiental de la sobreexplotación de los recursos naturales (agotamiento de las fuentes de agua potable y problema de las basuras).;;8;9;8-9;8;admin
1224;33;Analizo diversos puntos de vista e intereses relacionados con la percepción de los problemas y las soluciones tecnológicas, y los tomo en cuenta en mis argumentaciones.;;8;9;8-9;8;admin
1225;33;Analizo y explico la influencia de las tecnologías de la información y la comunicación en los cambios culturales, individuales y sociales, así como los intereses de grupos sociales en la producción e innovación tecnológica.;;8;9;8-9;8;admin
1226;33;Mantengo una actitud analítica y crítica con relación al uso de productos contaminantes (pilas, plástico, etc.) y su disposición final.;;8;9;8-9;8;admin
1227;33;Explico con ejemplos, el impacto que producen en el medio ambiente algunos tipos y fuentes de energía y propongo alternativas.;;8;9;8-9;8;admin
1228;33;Analizo la importancia y el papel que juegan las patentes y los derechos de autor en el desarrollo tecnológico.;;8;9;8-9;8;admin
1229;33;Ejerzo mi papel de ciudadano responsable con el uso adecuado de los sistemas tecnológicos (transporte, ahorro de energía, etc.).;;8;9;8-9;8;admin
1230;33;Utilizo responsablemente productos tecnológicos, valorando su pertinencia, calidad y efectos potenciales sobre mi salud y el medio ambiente.;;8;9;8-9;8;admin
1231;33;Explico el ciclo de vida de algunos productos tecnológicos y evalúo las consecuencias de su prolongación.;;8;9;8-9;8;admin
1232;30;Explico cómo la tecnología ha evolucionado en sus diferentes manifestaciones y la manera cómo éstas han influido en los cambios estructurales de la sociedad y la cultura a lo largo de la historia.;;10;11;10-11;10;admin
1233;30;Describo cómo los procesos de innovación, investigación, desarrollo y experimentación guiados por objetivos, producen avances tecnológicos.;;10;11;10-11;10;admin
1234;30;Identifico y analizo ejemplos exitosos y no exitosos de la transferencia tecnológica en la solución de problemas y necesidades.;;10;11;10-11;10;admin
1235;30;Relaciono el desarrollo tecnológico con los avances en la ciencia, la técnica, las matemáticas y otras disciplinas.;;10;11;10-11;10;admin
1236;30;Analizo los sistemas de control basados en la realimentación de artefactos y procesos, y explico su funcionamiento y efecto.;;10;11;10-11;10;admin
1237;30;Argumento con ejemplos la importancia de la medición en la vida cotidiana y el papel que juega la metrología en los procesos tecnológicos.;;10;11;10-11;10;admin
1238;30;Explico con ejemplos la importancia de la calidad en la producción de artefactos tecnológicos.;;10;11;10-11;10;admin
1239;30;Explico los propósitos de la ciencia y de la tecnología y su mutua interdependencia.;;10;11;10-11;10;admin
1240;30;Indago sobre la prospectiva e incidencia de algunos desarrollos tecnológicos.;;10;11;10-11;10;admin
1241;31;Diseño y aplico planes sistemáticos de mantenimiento de artefactos tecnológicos utilizados en la vida cotidiana.;;10;11;10-11;10;admin
1242;31;Investigo y documento algunos procesos de producción y manufactura de productos.;;10;11;10-11;10;admin
1243;31;Utilizo adecuadamente herramientas informáticas de uso común para la búsqueda y procesamiento de la información y la comunicación de ideas.;;10;11;10-11;10;admin
1244;31;Actúo teniendo en cuenta normas de seguridad industrial y utilizo elementos de protección en ambientes de trabajo y de producción.;;10;11;10-11;10;admin
1245;31;Utilizo e interpreto manuales, instrucciones, diagramas y esquemas, para el montaje de algunos artefactos, dispositivos y  sistemas tecnológicos.;;10;11;10-11;10;admin
1246;31;Utilizo herramientas y equipos en la construcción de modelos, maquetas o prototipos, aplicando normas de seguridad.;;10;11;10-11;10;admin
1247;31;Trabajo en equipo en la realización de proyectos tecnológicos y, cuando lo hago, involucro herramientas tecnológicas de  comunicación.;;10;11;10-11;10;admin
1248;31;Selecciono y utilizo (según los requerimientos) instrumentos  tecnológicos para medir, interpreto y analizo los resultados y estimo el error en estas medidas.;;10;11;10-11;10;admin
1249;31;Integro componentes y pongo en marcha sistemas informáticos personales utilizando manuales e instrucciones.;;10;11;10-11;10;admin
1250;31;Selecciono fuentes y tipos de energía teniendo en cuenta, entre otros, los aspectos ambientales.;;10;11;10-11;10;admin
1251;32;Evalúo y selecciono con argumentos, mis propuestas y decisiones en torno a un diseño.;;10;11;10-11;10;admin
1252;32;Identifico cuál es el problema o necesidad que originó el desarrollo de una tecnología, artefacto o sistema tecnológico.;;10;11;10-11;10;admin
1253;32;Identifico las condiciones, especificaciones y restricciones de diseño, utilizadas en una solución tecnológica y puedo verificar  su cumplimiento.;;10;11;10-11;10;admin
1254;32;Detecto, describo y formulo hipótesis sobre fallas en sistemas tecnológicos sencillos (siguiendo un proceso de prueba y descarte) y propongo estrategias para repararlas.;;10;11;10-11;10;admin
1255;32;Propongo, analizo y comparo diferentes soluciones a un mismo problema, explicando su origen, ventajas y dificultades.;;10;11;10-11;10;admin
1256;32;Tengo en cuenta aspectos relacionados con la antropometría, la ergonomía, la seguridad, el medio ambiente y el contexto cultural y socio-económico al momento de solucionar problemas con tecnología.;;10;11;10-11;10;admin
1257;32;Optimizo soluciones tecnológicas a través de estrategias de innovación, investigación, desarrollo y experimentación, y argumento los criterios y la ponderación de los factores utilizados.;;10;11;10-11;10;admin
1258;32;Propongo soluciones tecnológicas en condiciones de incertidumbre.;;10;11;10-11;10;admin
1259;32;Diseño, construyo y pruebo prototipos de artefactos y procesos (como respuesta a necesidades o problemas), teniendo en cuenta las restricciones y especificaciones planteadas.;;10;11;10-11;10;admin
1260;32;Propongo y evalúo el uso de tecnología para mejorar la productividad en la pequeña empresa.;;10;11;10-11;10;admin
1261;32;Interpreto y represento ideas sobre diseños, innovaciones o protocolos de experimentos mediante el uso de registros, textos, diagramas, figuras, planos constructivos, maquetas, modelos y prototipos, empleando para ello (cuando sea posible) herramientas informáticas.;;10;11;10-11;10;admin
1262;33;Discuto sobre el impacto de los desarrollos tecnológicos, incluida la biotecnología en la medicina, la agricultura y la industria.;;10;11;10-11;10;admin
1263;33;Analizo y describo factores culturales y tecnológicos que inciden en la sexualidad, el control de la natalidad, la prevención de enfermedades transmitidas sexualmente y las terapias reproductivas.;;10;11;10-11;10;admin
1264;33;"Participo en discusiones relacionadas con las aplicaciones e innovaciones tecnológicas sobre la salud; tomo postura y argumento mis intervenciones.";;10;11;10-11;10;admin
1265;33;Evalúo los procesos productivos de diversos artefactos y sistemas tecnológicos, teniendo en cuenta sus efectos sobre el  medio ambiente y las comunidades implicadas.;;10;11;10-11;10;admin
1266;33;Analizo el potencial de los recursos naturales y de los nuevos materiales utilizados en la producción tecnológica en diferentes  contextos.;;10;11;10-11;10;admin
1267;33;Analizo proyectos tecnológicos en desarrollo y debato en mi comunidad, el impacto de su posible implementación.;;10;11;10-11;10;admin
1268;33;Identifico e indago sobre los problemas que afectan directamente a mi comunidad, como consecuencia de la implementación o el retiro de bienes y servicios tecnológicos.;;10;11;10-11;10;admin
1269;33;Propongo acciones encaminadas a buscar soluciones sostenibles dentro un contexto participativo. Tomo decisiones relacionadas con las implicaciones sociales y ambientales de la tecnología y comunico los criterios básicos que utilicé o las razones que me condujeron a tomarlas.;;10;11;10-11;10;admin
1270;33;Diseño y desarrollo estrategias de trabajo en equipo que contribuyan a la protección de mis derechos y los de mi comunidad. (Campañas de promoción y divulgación de derechos humanos, de la juventud).;;10;11;10-11;10;admin
1271;33;Evalúo las implicaciones para la sociedad de la protección a la propiedad intelectual en temas como desarrollo y utilización de la tecnología.;;10;11;10-11;10;admin
1272;33;Identifico necesidades y potencialidades del país para lograr sudesarrollo científico y tecnológico.;;10;11;10-11;10;admin